S,freq,reg,image
broader,L,E,L
boulder,L,E,H
blessing,L,R,L
banner,L,R,H
cache,L,E,L
climb,L,E,H
cleft,L,R,L
cliff,L,R,H
caste,L,E,L
comb,L,E,H
clause,L,R,L
corpse,L,R,H
chasm,L,E,L
croquet,L,E,H
custom,L,R,L
coffin,L,R,H
dose,L,E,L
dove,L,E,H
deed,L,R,L
duck,L,R,H
guise,L,E,L
ghost,L,E,H
gait,L,R,L
groin,L,R,H
mischief,L,E,L
meadow,L,E,H
madness,L,R,L
mattress,L,R,H
scarce,L,E,L
soot,L,E,H
scribe,L,R,L
straw,L,R,H
sleight,L,E,L
sword,L,E,H
scorn,L,R,L
spike,L,R,H
soften,L,E,L
shovel,L,E,H
stanza,L,R,L
sandal,L,R,H
stingy,L,E,L
fatigue,L,E,H
figment,L,R,L
scarlet,L,R,H
suave,L,E,L
swamp,L,E,H
fraud,L,R,L
snail,L,R,H
toughness,L,E,L
treasure,L,E,H
traitor,L,R,L
trumpet,L,R,H
trough,L,E,L
pear,L,E,H
truce,L,R,L
trout,L,R,H
warn,L,E,L
worm,L,E,H
whence,L,R,L
wreck,L,R,H
wrath,L,E,L
wand,L,E,H
wrest,L,R,L
witch,L,R,H
